,userId,Recommendation
24,226544,"[(1089, 4.315923690795898), (6385, 4.241247177124023), (924, 4.222410202026367), (36, 4.221045970916748), (2804, 4.196200370788574), (2997, 4.194772243499756), (1358, 4.173124313354492), (3671, 4.169694900512695), (7139, 4.148200511932373), (2918, 4.139974594116211)]"
25,55593,"[(32, 4.16561222076416), (44665, 4.099505424499512), (7022, 4.088434219360352), (90439, 4.072871208190918), (60609, 3.9481542110443115), (65216, 3.911526918411255), (53550, 3.8940048217773438), (106785, 3.803429365158081), (6755, 3.786273241043091), (7373, 3.6728060245513916)]"
26,172178,"[(924, 3.9117679595947266), (46578, 3.7968690395355225), (8581, 3.5639641284942627), (104, 3.56154465675354), (3301, 3.56154465675354), (597, 3.56154465675354), (6755, 3.56154465675354), (1687, 3.5223538875579834), (3285, 3.5114686489105225), (2792, 3.4628970623016357)]"
27,271875,"[(541, 3.867798089981079), (1233, 3.867501735687256), (1276, 3.8338916301727295), (48516, 3.7858259677886963), (1244, 3.7578277587890625), (2010, 3.7362923622131348), (7587, 3.727325677871704), (8827, 3.654736042022705), (924, 3.648031234741211), (2176, 3.646982192993164)]"
28,182408,"[(4973, 3.9833099842071533), (48516, 3.944045066833496), (109487, 3.798494815826416), (98124, 3.772475481033325), (115569, 3.733222723007202), (7254, 3.56154465675354), (79702, 3.56154465675354), (101864, 3.483255386352539), (59784, 3.476506233215332), (107406, 3.449336528778076)]"
29,60900,"[(3435, 4.361030101776123), (2068, 4.2889909744262695), (1300, 4.219954013824463), (1104, 4.203725814819336), (2300, 4.188651084899902), (1263, 4.159244060516357), (2804, 4.158395767211914), (3545, 4.1531548500061035), (2917, 4.1224822998046875), (1394, 4.051774024963379)]"
30,35732,"[(1250, 4.159079074859619), (1233, 4.129438400268555), (6783, 4.06851863861084), (28, 3.9758989810943604), (924, 3.954833984375), (1270, 3.930459499359131), (2918, 3.8527743816375732), (63082, 3.777574300765991), (4465, 3.682271718978882), (3252, 3.6626970767974854)]"
31,126180,"[(4973, 4.177647590637207), (48516, 4.144043922424316), (162414, 4.025317192077637), (100714, 4.019262313842773), (63082, 3.859295606613159), (33166, 3.8362739086151123), (16, 3.8110318183898926), (143367, 3.6699514389038086), (156371, 3.569155693054199), (6936, 3.4739489555358887)]"
32,183050,"[(1250, 4.515998840332031), (2997, 4.360960960388184), (6283, 4.355783462524414), (79008, 4.264249324798584), (63082, 4.263842582702637), (1968, 4.260080337524414), (71535, 4.212099075317383), (1374, 4.1878557205200195), (1127, 4.07266902923584), (45517, 3.96277117729187)]"
33,246644,"[(3504, 3.8281946182250977), (1270, 3.693061351776123), (6869, 3.636148691177368), (8873, 3.5870182514190674), (2075, 3.4397499561309814), (968, 3.4120981693267822), (7162, 2.9837982654571533), (6645, 2.925391435623169), (5349, 2.5571203231811523), (8959, 2.3364295959472656)]"
34,61055,"[(541, 3.1242928504943848), (1303, 3.085496664047241), (1250, 3.0755350589752197), (1243, 3.0710694789886475), (1276, 3.0638740062713623), (947, 3.042672634124756), (2176, 3.024634599685669), (3504, 2.9784419536590576), (134853, 2.9592790603637695), (53123, 2.954284191131592)]"
35,266594,"[(4973, 4.003681182861328), (1089, 3.9599623680114746), (3088, 3.8508403301239014), (36, 3.8308417797088623), (3504, 3.8117880821228027), (2804, 3.797572135925293), (508, 3.675706148147583), (1968, 3.618452787399292), (4465, 3.568568706512451), (3747, 3.5343189239501953)]"
36,51969,"[(161582, 3.56154465675354), (176371, 3.537201166152954), (55118, 3.4702036380767822), (100714, 3.4647927284240723), (1653, 3.463855504989624), (61236, 3.3998961448669434), (158238, 3.3555431365966797), (33166, 3.2948079109191895), (97921, 3.291541814804077), (53519, 3.248429775238037)]"
37,75736,"[(541, 4.24550199508667), (71899, 4.234391689300537), (134853, 4.147931098937988), (1270, 4.109946250915527), (2997, 4.101170539855957), (6283, 4.094382286071777), (55814, 4.080948829650879), (57504, 4.073883533477783), (106782, 4.003127098083496), (7022, 3.9956183433532715)]"
38,40034,"[(1212, 3.8192317485809326), (5008, 3.772489547729492), (541, 3.6488380432128906), (923, 3.5231451988220215), (4967, 3.433345079421997), (4848, 3.3453922271728516), (33154, 3.3064517974853516), (44694, 3.277522563934326), (109487, 3.2325665950775146), (1291, 3.1762473583221436)]"
39,211101,"[(541, 4.142052173614502), (955, 4.113201141357422), (923, 4.112879276275635), (3096, 4.058499813079834), (1300, 4.055972099304199), (3037, 4.052964687347412), (2966, 3.9940919876098633), (67665, 3.982172966003418), (1265, 3.926377773284912), (7486, 3.9176127910614014)]"
40,70836,"[(541, 4.131031036376953), (1270, 3.9805068969726562), (8340, 3.805305004119873), (70286, 3.7719690799713135), (115210, 3.674494743347168), (3682, 3.6406922340393066), (97188, 3.6265580654144287), (2803, 3.56154465675354), (3427, 3.5240516662597656), (100302, 3.503204345703125)]"
41,115619,"[(2905, 4.372298717498779), (1945, 4.3315510749816895), (923, 4.301977634429932), (954, 4.273036479949951), (1244, 4.266995429992676), (924, 4.221521377563477), (1358, 4.172192573547363), (7139, 4.147246360778809), (5632, 4.121620178222656), (508, 4.107017993927002)]"
42,151049,"[(3741, 3.7307209968566895), (2612, 3.696941375732422), (3546, 3.6526763439178467), (32, 3.647581100463867), (1358, 3.646286725997925), (728, 3.5657010078430176), (3812, 3.56154465675354), (40583, 3.56154465675354), (514, 3.56154465675354), (1694, 3.56154465675354)]"
43,124740,"[(1276, 4.216193199157715), (2068, 4.200638294219971), (1089, 4.1936845779418945), (1273, 4.13146448135376), (3741, 4.099114418029785), (1291, 4.093602180480957), (67665, 4.055167198181152), (50514, 4.046052932739258), (38095, 4.024604797363281), (2917, 4.018795967102051)]"
44,146942,"[(858, 3.4099643230438232), (1300, 3.2577929496765137), (1250, 3.188652992248535), (5008, 3.160679340362549), (1233, 3.1595704555511475), (4432, 3.138988494873047), (48516, 3.131558418273926), (923, 3.1251256465911865), (1273, 3.1155223846435547), (4970, 3.0913071632385254)]"
45,179662,"[(5008, 3.9105043411254883), (3435, 3.8640615940093994), (4973, 3.7941696643829346), (1276, 3.775442123413086), (947, 3.7456088066101074), (923, 3.724119186401367), (1273, 3.660245656967163), (2940, 3.614065408706665), (1291, 3.609706163406372), (1270, 3.590874195098877)]"
46,108517,"[(4973, 3.5348031520843506), (48516, 3.4739062786102295), (2997, 3.4629809856414795), (6953, 3.215198278427124), (40583, 3.214496374130249), (4901, 3.169992685317993), (103341, 3.169126272201538), (91414, 3.084622383117676), (3526, 3.082075357437134), (1395, 3.030942440032959)]"
47,36614,"[(32, 3.792793035507202), (2918, 3.7483506202697754), (46578, 3.7379581928253174), (1968, 3.6633005142211914), (4848, 3.6324143409729004), (109864, 3.499858856201172), (27706, 3.404233694076538), (5299, 3.395260810852051), (7373, 3.342379570007324), (42728, 3.256340265274048)]"
48,128927,"[(541, 3.8130831718444824), (1270, 3.628289222717285), (1263, 3.619842290878296), (32, 3.587026834487915), (121, 3.56154465675354), (3072, 3.56154465675354), (1374, 3.56154465675354), (1127, 3.56154465675354), (165, 3.5508201122283936), (2413, 3.497476577758789)]"
49,142420,"[(4973, 4.096525192260742), (31437, 4.051011085510254), (2997, 3.9018185138702393), (6104, 3.8190078735351562), (40583, 3.481921911239624), (2081, 3.393068790435791), (59784, 3.327691078186035), (832, 3.276366710662842), (748, 3.0434093475341797), (2581, 2.904432535171509)]"
50,119987,"[(109487, 4.0097126960754395), (98124, 3.975388288497925), (44665, 3.9020330905914307), (2924, 3.8701090812683105), (74458, 3.836247682571411), (63876, 3.7779016494750977), (5064, 3.6715574264526367), (6953, 3.557051420211792), (52973, 3.1932315826416016), (2090, 3.1293036937713623)]"
51,133917,"[(541, 3.906430959701538), (923, 3.853236198425293), (2010, 3.828770160675049), (2176, 3.756300687789917), (2580, 3.388157367706299), (7001, 3.282784938812256), (2797, 3.198366403579712), (2005, 3.110957384109497), (6538, 3.106602191925049), (3852, 3.0958969593048096)]"
52,110804,"[(1256, 4.441269874572754), (1089, 4.431517124176025), (923, 4.420267105102539), (4967, 4.374117374420166), (3741, 4.360008239746094), (2300, 4.353686332702637), (1270, 4.33420467376709), (1387, 4.2521867752075195), (1394, 4.238905906677246), (1073, 4.145885467529297)]"
53,111152,"[(858, 4.407933235168457), (3435, 4.292366027832031), (1945, 4.22697639465332), (2010, 4.165644645690918), (954, 4.155405044555664), (1244, 4.15524959564209), (1303, 4.118263244628906), (2176, 4.116235256195068), (1084, 4.068136215209961), (1834, 4.01378059387207)]"
54,216395,"[(858, 4.330406188964844), (2966, 3.974947929382324), (2918, 3.8981966972351074), (1387, 3.8605220317840576), (2333, 3.858126401901245), (1394, 3.8424313068389893), (4881, 3.752326726913452), (3252, 3.711761474609375), (3181, 3.7054595947265625), (1073, 3.705108642578125)]"
55,120950,"[(134853, 4.2573041915893555), (1291, 4.247655391693115), (32, 4.194942474365234), (46578, 4.153679847717285), (74458, 4.139811038970947), (83132, 4.128126621246338), (7022, 4.119825839996338), (33166, 4.081673622131348), (141866, 4.045374393463135), (79702, 4.029745578765869)]"
56,131346,"[(1250, 3.9231648445129395), (541, 3.8558664321899414), (1217, 3.812354326248169), (923, 3.7816789150238037), (114028, 3.6619060039520264), (3504, 3.6056017875671387), (3334, 3.5667805671691895), (57504, 3.5250375270843506), (4848, 3.5231871604919434), (5105, 3.472378969192505)]"
57,144317,"[(1250, 3.9105939865112305), (1089, 3.8067843914031982), (32, 3.598106861114502), (52973, 3.56154465675354), (4901, 3.56154465675354), (2411, 3.56154465675354), (6796, 3.56154465675354), (5064, 3.56154465675354), (8873, 3.56154465675354), (8861, 3.56154465675354)]"
58,172609,"[(858, 4.368560791015625), (541, 4.1723480224609375), (109487, 4.03999137878418), (2997, 4.017693042755127), (1265, 3.9621191024780273), (74458, 3.92873215675354), (508, 3.917436361312866), (1653, 3.8523552417755127), (62511, 3.8262338638305664), (79702, 3.80055832862854)]"
59,49534,"[(1089, 3.489262104034424), (923, 3.394012928009033), (33154, 3.348827838897705), (62511, 3.2433998584747314), (63082, 3.2188689708709717), (1387, 3.216365337371826), (46850, 3.183168888092041), (6953, 3.058405876159668), (97921, 3.0041987895965576), (143367, 2.9661543369293213)]"
60,136892,"[(1250, 4.256160259246826), (2843, 4.192307472229004), (6993, 4.092867851257324), (924, 4.069498062133789), (1270, 4.047060489654541), (1394, 3.9222145080566406), (55444, 3.912872076034546), (68073, 3.8164477348327637), (46723, 3.777064323425293), (63808, 3.770263433456421)]"
61,175928,"[(1256, 4.389632225036621), (2300, 4.295401573181152), (3504, 4.278205871582031), (32, 4.247767448425293), (1103, 4.187680721282959), (7158, 4.112553596496582), (7254, 4.004508018493652), (2797, 3.9844624996185303), (6218, 3.8145852088928223), (6538, 3.6994469165802)]"
62,123117,"[(170705, 4.649290561676025), (80906, 4.3948655128479), (6787, 4.380532264709473), (1291, 4.363265037536621), (114028, 4.356179237365723), (2966, 4.343942642211914), (2997, 4.336193084716797), (33154, 4.322182655334473), (161582, 4.303256988525391), (83132, 4.259817123413086)]"
63,133329,"[(32, 3.56154465675354), (44665, 3.522970676422119), (1270, 3.5161848068237305), (109487, 3.5026772022247314), (5064, 3.4122533798217773), (6708, 3.371342658996582), (7001, 3.339710235595703), (7254, 3.2561535835266113), (45003, 3.2425050735473633), (60161, 3.2230477333068848)]"
64,70242,"[(3814, 3.7449116706848145), (44665, 3.635012149810791), (81932, 3.5940616130828857), (106782, 3.5874760150909424), (90439, 3.5844366550445557), (6339, 3.578716278076172), (3114, 3.531263828277588), (16, 3.5038375854492188), (53550, 3.467794179916382), (97923, 3.4628052711486816)]"
65,49799,"[(923, 4.3769378662109375), (1291, 4.3085103034973145), (40414, 4.266115188598633), (7022, 4.188782691955566), (90439, 4.174538612365723), (63082, 4.171233177185059), (1653, 4.146095275878906), (141866, 4.118743896484375), (68073, 4.0980544090271), (4901, 4.035733222961426)]"
66,47832,"[(4973, 4.045450210571289), (3671, 3.7511520385742188), (74458, 3.66300892829895), (7022, 3.656663179397583), (82459, 3.5931243896484375), (70286, 3.547607421875), (97921, 3.3489880561828613), (107406, 3.1774513721466064), (115617, 3.1593971252441406), (7254, 2.9602365493774414)]"
67,209965,"[(3681, 3.8360133171081543), (1265, 3.680752992630005), (1374, 3.5051217079162598), (2407, 3.3321571350097656), (2105, 3.2948074340820312), (2985, 3.2837893962860107), (2867, 3.273895502090454), (6754, 3.2425622940063477), (344, 3.109870672225952), (4396, 3.0932908058166504)]"
68,164045,"[(955, 3.9698402881622314), (3091, 3.930706024169922), (1270, 3.811708450317383), (32, 3.798633098602295), (1243, 3.757427453994751), (3098, 3.747321128845215), (33660, 3.7150020599365234), (6773, 3.6966845989227295), (44665, 3.6961581707000732), (3114, 3.5595154762268066)]"
69,2975,"[(1212, 4.426344394683838), (1244, 4.266755104064941), (1104, 4.238797187805176), (1291, 4.226707935333252), (3504, 4.205678462982178), (1084, 4.1914143562316895), (3545, 4.189966201782227), (8507, 4.1088409423828125), (101, 3.979858875274658), (1321, 3.968020439147949)]"
70,158879,"[(3307, 4.5440263748168945), (541, 4.5073089599609375), (71899, 4.499538898468018), (1089, 4.498903274536133), (80906, 4.458546161651611), (1446, 4.453115463256836), (556, 4.427497863769531), (114028, 4.423328399658203), (2966, 4.412173748016357), (1270, 4.411398887634277)]"
71,220247,"[(36, 3.917133331298828), (1265, 3.8230648040771484), (535, 3.7350778579711914), (968, 3.6379165649414062), (1321, 3.604172468185425), (1179, 3.5674684047698975), (1350, 3.5485122203826904), (597, 3.45896577835083), (1372, 3.438934803009033), (700, 3.3299083709716797)]"
72,71773,"[(2905, 4.116612911224365), (1233, 4.10024356842041), (947, 4.042788505554199), (6783, 4.037822723388672), (1244, 3.979717493057251), (3681, 3.9695825576782227), (6993, 3.9475138187408447), (28, 3.943054676055908), (3819, 3.935026168823242), (924, 3.9215240478515625)]"
73,30467,"[(1270, 3.56154465675354), (1300, 3.56154465675354), (134853, 3.56154465675354), (3088, 3.56154465675354), (48516, 3.56154465675354), (2966, 3.56154465675354), (33154, 3.56154465675354), (2918, 3.5561161041259766), (1387, 3.54836368560791), (33166, 3.543868064880371)]"
74,83922,"[(3307, 3.789431571960449), (1233, 3.765900135040283), (541, 3.7113142013549805), (1089, 3.693753242492676), (7981, 3.616535186767578), (6993, 3.579660177230835), (5385, 3.5771799087524414), (162414, 3.563361167907715), (82459, 3.56154465675354), (1270, 3.56154465675354)]"
75,166070,"[(1270, 4.392279624938965), (3671, 4.365664482116699), (1387, 4.316139221191406), (16, 4.257771968841553), (2551, 4.1389689445495605), (2797, 4.1385884284973145), (3702, 4.046387672424316), (2140, 4.0325822830200195), (1627, 3.57974910736084), (4159, 3.349303960800171)]"
76,202744,"[(858, 3.966681480407715), (1089, 3.6590993404388428), (63082, 3.318302631378174), (106782, 3.2621140480041504), (113275, 3.2492120265960693), (52973, 2.863800287246704), (59369, 2.825965404510498), (661, 2.7717134952545166), (72641, 2.756753921508789), (7254, 2.7482917308807373)]"
77,218627,"[(2843, 4.303859710693359), (6993, 4.215234756469727), (6385, 4.213684558868408), (2997, 4.165897846221924), (32, 4.144601821899414), (1968, 4.041865825653076), (8340, 4.022924423217773), (4784, 3.968291759490967), (2797, 3.8562068939208984), (7033, 3.56154465675354)]"
78,5323,"[(7215, 4.16890287399292), (6783, 4.124234199523926), (955, 4.112466335296631), (923, 4.112144470214844), (26712, 4.073434829711914), (6787, 4.0445709228515625), (3088, 4.031620979309082), (3819, 4.028134346008301), (2176, 4.028070449829102), (2940, 4.023390769958496)]"
79,277817,"[(1265, 3.912126064300537), (1243, 3.9068589210510254), (2918, 3.8992178440093994), (3296, 3.8388893604278564), (33903, 3.7915685176849365), (1968, 3.7785322666168213), (2580, 3.6798624992370605), (2139, 3.6678805351257324), (6218, 3.223468542098999), (5299, 2.9883193969726562)]"
80,43038,"[(1089, 4.108601093292236), (3415, 4.064335823059082), (6385, 4.017122268676758), (3819, 4.007072925567627), (36, 3.992560863494873), (109487, 3.983950614929199), (1270, 3.970487117767334), (7924, 3.9422359466552734), (32, 3.9357190132141113), (6104, 3.8809025287628174)]"
81,32467,"[(8827, 4.159193992614746), (6787, 4.118359565734863), (134853, 4.108181953430176), (1291, 4.0970611572265625), (33154, 4.041416168212891), (8482, 3.9533979892730713), (3296, 3.937049388885498), (90439, 3.93359375), (3114, 3.9291532039642334), (1653, 3.899334669113159)]"
82,189739,"[(1250, 4.084331512451172), (1244, 3.927743911743164), (7981, 3.9110257625579834), (6787, 3.899651288986206), (3037, 3.8763298988342285), (924, 3.8675506114959717), (32, 3.8042070865631104), (36, 3.764742851257324), (53123, 3.682807683944702), (6104, 3.672612190246582)]"
83,22259,"[(3819, 3.562060594558716), (3114, 3.56154465675354), (1303, 3.56154465675354), (8341, 3.56154465675354), (924, 3.56154465675354), (33154, 3.56154465675354), (2551, 3.5422523021698), (728, 3.530449151992798), (7075, 3.5186731815338135), (2872, 3.4644410610198975)]"
84,221711,"[(48516, 4.184475421905518), (7022, 3.930633306503296), (48696, 3.9172582626342773), (7982, 3.7625420093536377), (253, 3.6090986728668213), (2105, 3.5301673412323), (45517, 3.478752374649048), (51088, 3.4323031902313232), (4240, 3.4030628204345703), (54785, 3.372868299484253)]"
85,62122,"[(6787, 3.750861406326294), (1291, 3.680612564086914), (3504, 3.6556556224823), (2804, 3.572157382965088), (1265, 3.570725202560425), (1358, 3.548647880554199), (46578, 3.4623026847839355), (60487, 3.4391655921936035), (33166, 3.404618740081787), (1968, 3.3782761096954346)]"
86,59314,"[(1945, 4.142518997192383), (134853, 4.027795314788818), (2176, 4.02207088470459), (556, 4.010736465454102), (3504, 3.990736484527588), (1270, 3.98594331741333), (2997, 3.9762916564941406), (1084, 3.973681688308716), (3671, 3.946350574493408), (115569, 3.941397190093994)]"
87,234383,"[(1089, 3.984247922897339), (7939, 3.9687676429748535), (8128, 3.931220531463623), (1270, 3.833096981048584), (1263, 3.825437545776367), (2804, 3.8243613243103027), (6773, 3.700538396835327), (671, 3.512373447418213), (1073, 3.506904363632202), (37857, 3.4653115272521973)]"
88,57064,"[(48516, 1.7382042407989502), (955, 1.673084020614624), (122882, 1.577366590499878), (140359, 1.3590641021728516), (79702, 1.2769815921783447), (103341, 1.261718511581421), (71535, 1.2481369972229004), (122920, 1.177903175354004), (115617, 1.1198310852050781), (52973, 1.0922801494598389)]"
89,180676,"[(2075, 3.798271417617798), (968, 3.7298483848571777), (1321, 3.6569290161132812), (2757, 3.603549003601074), (3153, 3.3722002506256104), (188, 3.1298465728759766), (2867, 3.1183547973632812), (1375, 3.100187063217163), (2554, 3.090773582458496), (1917, 2.7225255966186523)]"
90,65081,"[(3307, 4.268554210662842), (1256, 4.210748195648193), (7939, 4.204397678375244), (3741, 4.124668121337891), (7981, 4.117624282836914), (3504, 4.077367782592773), (134853, 4.0474395751953125), (3546, 4.000768184661865), (5603, 3.9082343578338623), (62511, 3.8334789276123047)]"
91,213040,"[(858, 4.125949859619141), (1089, 3.860137939453125), (3114, 3.56154465675354), (3298, 3.56154465675354), (322, 3.56154465675354), (16, 3.56154465675354), (2712, 3.551568031311035), (597, 3.5492568016052246), (3285, 3.4077415466308594), (344, 3.3519482612609863)]"
92,152506,"[(541, 3.76021671295166), (1303, 3.6185264587402344), (36, 3.59792423248291), (1394, 3.56154465675354), (5064, 3.56154465675354), (32, 3.56154465675354), (3105, 3.5488200187683105), (3682, 3.5417628288269043), (1127, 3.506413221359253), (2413, 3.369741439819336)]"
93,4059,"[(858, 3.954763174057007), (32, 3.5429296493530273), (1084, 3.534560441970825), (1291, 3.5005927085876465), (109487, 3.446960926055908), (1103, 3.394352674484253), (1179, 3.346569776535034), (3072, 3.2468061447143555), (1350, 3.220576286315918), (5299, 3.135246753692627)]"
94,192865,"[(8607, 3.355929374694824), (32, 3.3350162506103516), (1084, 3.308363914489746), (1945, 3.2885007858276367), (1694, 3.1461756229400635), (1103, 3.139185905456543), (4019, 2.9953858852386475), (72479, 2.979368209838867), (514, 2.9403812885284424), (3702, 2.8826828002929688)]"
95,232180,"[(3435, 4.014499664306641), (2905, 3.9879610538482666), (1217, 3.9396519660949707), (134853, 3.795334577560425), (3088, 3.7928378582000732), (2997, 3.735929012298584), (57504, 3.701552629470825), (1387, 3.6187362670898438), (262, 3.56154465675354), (59784, 3.56154465675354)]"
96,257140,"[(5008, 4.233181953430176), (7215, 4.145199298858643), (924, 3.988600492477417), (2966, 3.965985059738159), (1270, 3.9647772312164307), (74458, 3.862182140350342), (5034, 3.841419219970703), (63082, 3.81510329246521), (5339, 3.812962532043457), (1968, 3.809772491455078)]"
97,57708,"[(1089, 4.1215362548828125), (16, 3.788254737854004), (1073, 3.730450391769409), (2081, 3.6002347469329834), (6708, 3.577706813812256), (6297, 3.56154465675354), (4989, 3.56154465675354), (208, 3.56154465675354), (4270, 3.56154465675354), (1779, 3.56154465675354)]"
